Gene_ID	MA001	MA002	MA003	MA004	MA005	MA006	MA007	MA008	MA009	MA010	MA011	MA012	MA013	MH001	MH002	MH003	MH004	MH005	MH006	MH007	MH008	MH009	MH010	MH011	MH012	MH013	SA004	SA006	SA007	SA008	SA009	SA010	SA011	SA012	SH001	SH002	SH003	SH005	SH008	SH009	SH010	SH011	SH012
IHJHGAMB_01822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	21	2	12	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	1	194	367	103	0	0	244	0	0
IHJHGAMB_01823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	18	3	9	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	2	143	418	95	0	0	219	0	0
IHJHGAMB_01824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	13	2	9	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	196	339	88	0	0	209	0	4
IHJHGAMB_01826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	133	114	28	0	0	58	0	1
IHJHGAMB_01827	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	27	6	10	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	3	449	470	122	0	0	333	0	0
IHJHGAMB_01828	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	9	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	118	188	58	0	0	117	0	0
IHJHGAMB_01829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	13	1	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	237	313	92	0	0	196	0	0
IHJHGAMB_01830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	24	1	10	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	2	316	370	113	0	0	213	1	1
IHJHGAMB_01831	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	21	7	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	230	415	91	0	0	288	0	2
IHJHGAMB_01832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	2	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	69	99	48	0	0	71	0	0
IHJHGAMB_01833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	30	5	15	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	3	531	498	108	0	0	380	0	1
IHJHGAMB_01834	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	14	4	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	274	325	71	1	0	213	1	0
IHJHGAMB_01880	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	5	25	6	0	7	1	2	2	8	1	0	0	0	0	0	0	0	0	0	52	428	183	75	21	17	103	145	10
IHJHGAMB_01881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IHJHGAMB_02165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	6	1	0
IHJHGAMB_02213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	55	18	0	3	26	0	0
IHJHGAMB_02214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	1	0	0
IHJHGAMB_02219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	12	7	0	0	8	0	0
IHJHGAMB_02220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	13	6	0	0	13	0	0
IHJHGAMB_02284	0	0	0	0	0	0	0	0	0	0	0	0	0	15	45	27	56	9	0	17	4	11	8	22	3	0	0	0	0	1	0	0	1	0	88	1119	520	138	38	22	281	374	26
IHJHGAMB_02326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10	4	4	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	19	138	221	74	1	0	149	2	1
IHJHGAMB_02327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	16	8	9	0	0	10	0	0
IHJHGAMB_02368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	4	3	0	2	0	0	2	3	0	0	0	0	0	13	0	0	0	0	1	70	188	44	0	0	67	24	13
IHJHGAMB_02369	0	0	0	0	0	0	0	4	0	0	0	0	0	0	22	45	19	9	0	3	1	0	11	13	5	1	0	1	0	59	0	0	2	0	1	641	1266	146	2	0	337	233	80
IHJHGAMB_02377	0	0	0	0	0	0	0	0	0	0	0	0	0	3	23	31	6	10	0	2	1	0	6	0	1	0	0	0	0	0	0	0	0	0	16	462	616	145	1	0	403	3	22
IHJHGAMB_02417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	10	10	1	0	6	0	0
IHJHGAMB_02418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	1	4	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	44	64	28	0	5	59	0	1
IHJHGAMB_02419	0	0	0	0	0	0	0	0	0	0	0	0	0	3	49	108	12	47	0	0	0	0	30	0	1	0	0	0	0	0	0	0	0	0	3	910	1448	349	1	0	1235	0	0
IHJHGAMB_02420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	1	0	0
IHJHGAMB_02421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	79	94	26	0	0	67	1	0
IHJHGAMB_02422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	28	3	16	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	6	439	399	110	0	0	291	0	1
IHJHGAMB_02423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8	4	9	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	235	211	48	0	0	172	0	0
IHJHGAMB_02424	0	0	0	0	0	0	0	0	0	0	0	0	0	4	10	13	4	9	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	3	387	280	70	1	0	233	0	0
